,Unnamed: 0,city_codes,beds,baths,size,price
0,0,317,3,2.0,1560,201900
1,1,48,3,2.0,713,228500
2,2,152,3,1.0,800,273950
3,3,48,3,1.0,1082,350000
4,4,55,4,3.0,2547,385100
5,5,48,3,1.0,1082,350000
6,6,55,4,3.0,2769,415000
7,7,48,5,2.1,2600,545000
8,8,48,5,2.1,2600,545000
9,9,317,4,5.1,3932,690000
10,10,129,3,2.1,4044,1350000
11,11,122,5,5.1,6247,1499000
12,12,312,2,2.0,2466,1488000
13,13,164,3,2.0,2686,995000
14,14,312,1,1.0,1048,2000000
15,15,122,5,5.1,6247,1499000
16,16,122,3,3.1,4597,1550000
17,17,122,8,3.1,4236,1850000
18,18,367,4,1.1,1980,1995000
19,19,367,4,2.1,1967,249950
20,20,20,4,2.0,1573,205000
21,21,57,5,3.0,2065,249000
22,22,24,3,2.0,1087,195000
23,23,122,3,2.0,1400,229000
24,24,57,3,2.0,1533,229000
25,25,24,2,1.0,966,239900
26,26,122,3,2.1,1760,235000
27,27,24,3,2.0,1478,239900
28,28,24,4,3.0,1876,240000
29,29,24,3,2.0,1820,239990
30,30,24,3,2.0,1873,219000
31,31,312,3,2.0,1265,220000
32,32,99,3,1.0,1364,199500
33,33,24,3,2.0,1004,224990
34,34,367,4,3.1,3648,249000
35,35,24,3,2.1,1608,250000
36,36,312,3,2.0,1504,225000
37,37,312,3,2.0,1425,255000
38,38,57,5,3.0,2190,234900
39,39,312,3,2.0,1500,245000
40,40,57,3,2.0,1410,198000
41,41,196,3,2.0,1152,199900
42,42,282,3,2.0,1440,235000
43,43,122,2,2.0,1008,216500
44,44,57,3,2.0,1562,225000
45,45,282,2,1.0,974,210000
46,46,122,3,1.1,1440,219000
47,47,122,2,1.0,896,198500
48,48,24,4,3.0,1848,219900
49,49,282,2,2.0,1378,249000
50,50,367,4,2.0,1421,229900
51,51,312,3,2.0,1222,216000
52,52,312,2,2.0,956,230000
53,53,367,3,2.0,1320,249000
54,54,312,3,2.0,1484,255000
55,55,24,3,2.0,1499,233000
56,56,57,3,2.0,1422,195000
57,57,282,3,2.1,1152,238000
58,58,57,3,2.0,1774,230000
59,59,282,3,2.0,1584,219000
60,60,282,4,2.0,1368,239900
61,61,24,3,2.0,1268,234900
62,62,367,4,2.0,1888,255000
63,63,57,3,2.0,1877,199000
64,64,122,3,2.0,1290,237500
65,65,282,2,2.0,949,209750
66,66,367,3,2.0,1402,239000
67,67,24,3,2.0,1242,200000
68,68,367,3,3.0,2354,249000
69,69,282,3,2.2,1426,249000
70,70,57,4,2.0,1775,195000
71,71,282,3,2.0,952,199000
72,72,24,5,2.0,1953,235000
73,73,24,3,2.0,1527,209900
74,74,312,2,2.0,956,213900
75,75,282,3,2.0,1542,220000
76,76,24,3,2.0,1411,250000
77,77,24,3,2.0,1448,230000
78,78,122,2,2.0,1536,245000
79,79,24,2,1.0,991,219900
80,80,57,3,2.0,1400,249000
81,81,122,3,2.0,1380,249900
82,82,282,2,1.0,783,195000
83,83,156,2,1.0,1100,230000
84,84,57,3,2.0,1729,210000
85,85,57,3,2.0,1945,199950
86,86,282,4,2.0,1632,239000
87,87,282,3,2.0,1792,299000
88,88,367,4,2.1,1967,249950
89,89,312,3,2.0,1433,260000
90,90,367,3,2.0,2435,284900
91,91,57,5,3.0,2065,249000
92,92,24,3,2.1,1838,265000
93,93,24,3,2.0,1683,290000
94,94,312,5,2.0,1837,260000
95,95,312,3,2.0,1630,259900
96,96,122,3,2.0,1198,280000
97,97,367,3,2.0,1512,274999
98,98,24,3,2.0,1515,275000
99,99,57,4,2.1,1996,269669
100,100,367,4,3.1,3648,249000
101,101,24,3,2.0,1316,275000
102,102,24,3,2.1,1608,250000
103,103,24,5,2.1,2228,299000
104,104,282,3,2.0,1800,270000
105,105,312,3,2.0,1425,255000
106,106,57,4,3.0,1991,265000
107,107,312,3,2.0,1735,295000
108,108,24,4,2.0,1639,295000
109,109,312,3,2.0,1500,245000
110,110,282,2,2.0,1137,259000
111,111,220,6,5.0,2352,300000
112,112,57,3,2.0,2400,258000
113,113,122,3,3.1,1526,275000
114,114,312,3,2.0,1687,260000
115,115,122,3,2.1,1558,295000
116,116,282,2,2.0,1378,249000
117,117,312,3,2.0,1473,269900
118,118,24,4,3.0,1982,299900
119,119,196,3,2.0,1800,259000
120,120,367,3,2.0,1320,249000
121,121,122,3,2.0,1665,289000
122,122,312,3,2.0,1484,255000
123,123,45,3,2.0,1800,299000
124,124,122,3,2.0,2176,260000
125,125,122,3,3.0,1376,269900
126,126,367,4,2.0,1888,255000
127,127,282,3,3.0,1293,279000
128,128,196,3,3.0,2479,299500
129,129,282,4,2.1,1579,279000
130,130,367,3,3.0,2354,249000
131,131,282,3,2.2,1426,249000
132,132,282,2,2.0,1520,265000
133,133,282,3,2.0,1920,275000
134,134,122,3,2.0,1836,274900
135,135,282,3,2.0,1688,274960
136,136,24,3,2.0,1411,250000
137,137,122,4,2.1,1897,285000
138,138,282,2,2.0,1733,278300
139,139,122,2,2.0,1536,245000
140,140,282,3,2.1,1712,285000
141,141,57,3,2.0,1400,249000
142,142,282,3,2.0,1459,299000
143,143,122,3,2.0,1380,249900
144,144,282,3,2.1,1728,299000
145,145,57,3,3.1,2571,275000
146,146,282,4,3.0,2300,299000
147,147,282,3,2.0,1344,279000
148,148,282,3,2.0,1536,278888
149,149,367,3,1.0,1368,300000
150,150,282,3,2.0,1792,299000
151,151,24,3,2.1,2011,339900
152,152,312,5,3.1,2557,344500
153,153,367,4,2.0,1703,315000
154,154,282,3,2.0,1615,329900
155,155,367,3,3.0,1656,355000
156,156,24,4,3.0,2792,325000
157,157,312,4,2.1,1831,319900
158,158,122,4,2.0,2216,349000
159,159,367,3,2.0,1685,339000
160,160,24,4,2.0,1838,315000
161,161,312,4,3.0,1689,315000
162,162,24,4,2.0,2043,335000
163,163,220,3,2.1,2112,330000
164,164,24,5,2.1,2228,299000
165,165,367,3,2.0,1833,340000
166,166,312,4,2.1,2498,349990
167,167,312,3,2.0,1735,295000
168,168,24,4,2.0,1639,295000
169,169,367,3,2.0,1954,309900
170,170,312,5,3.1,2637,350000
171,171,57,5,4.0,2631,311000
172,172,220,3,2.1,1622,319000
173,173,220,6,5.0,2352,300000
174,174,357,4,2.0,2302,344900
175,175,24,3,3.0,2639,329999
176,176,282,3,1.2,2304,329900
177,177,282,3,2.1,1640,335000
178,178,122,3,2.1,1558,295000
179,179,24,4,3.0,1982,299900
180,180,367,3,2.0,1883,329000
181,181,45,3,2.0,1800,299000
182,182,24,5,4.0,3865,349900
183,183,312,4,3.1,1987,316900
184,184,24,3,2.0,2248,336800
185,185,24,5,3.0,2972,349000
186,186,367,4,2.0,1962,329999
187,187,122,4,2.1,1856,328000
188,188,367,4,2.0,2065,317000
189,189,196,3,3.0,2479,299500
190,190,282,3,2.1,2072,338000
191,191,282,2,1.0,852,350000
192,192,282,3,2.0,2380,349000
193,193,367,5,3.1,2725,345000
194,194,282,3,2.0,1459,299000
195,195,57,3,2.1,2214,314900
196,196,282,3,2.1,1728,299000
197,197,308,6,4.0,2608,339900
198,198,24,3,2.0,1840,324999
199,199,367,3,2.1,3046,349000
200,200,282,4,3.0,2300,299000
201,201,282,4,3.0,1680,329000
202,202,367,3,1.0,1368,300000
203,203,312,4,2.1,2700,360000
204,204,282,3,2.0,1958,398500
205,205,196,2,2.0,1644,369000
206,206,367,3,3.0,2052,365000
207,207,367,3,3.0,1656,355000
208,208,24,3,2.1,2296,388000
209,209,122,4,2.0,2216,349000
210,210,24,4,3.1,3249,399000
211,211,24,5,3.0,3188,399900
212,212,282,4,4.0,2523,375888
213,213,282,3,2.0,1837,357000
214,214,164,3,2.1,2125,389900
215,215,312,4,2.1,2498,349990
216,216,367,3,2.0,2325,369900
217,217,312,5,3.1,2637,350000
218,218,367,4,2.0,2252,388950
219,219,282,3,2.1,2000,399000
220,220,24,5,3.1,2527,359900
221,221,367,3,2.0,1762,365000
222,222,122,4,4.0,2900,359000
223,223,196,3,2.0,2287,369963
224,224,122,4,3.1,2546,379900
225,225,122,3,3.1,2075,399000
226,226,24,5,4.0,3865,349900
227,227,24,5,3.0,2972,349000
228,228,367,4,2.0,2372,374000
229,229,312,5,3.0,2760,375000
230,230,282,3,2.1,2230,369900
231,231,163,2,2.0,1104,395000
232,232,282,4,3.0,2570,369900
233,233,24,4,3.0,3071,395000
234,234,24,4,3.0,2592,379900
235,235,24,4,3.1,2368,399990
236,236,282,2,1.0,852,350000
237,237,282,3,2.0,2380,349000
238,238,367,5,3.1,2725,345000
239,239,282,3,2.1,2196,356900
240,240,122,3,3.0,2389,389000
241,241,122,4,3.0,2746,379000
242,242,367,3,2.1,3046,349000
243,243,220,4,4.0,1687,400000
244,244,282,3,2.0,1958,398500
245,245,367,3,2.1,2753,439000
246,246,129,3,3.0,2503,449000
247,247,24,4,3.1,3249,399000
248,248,24,4,3.1,3578,449900
249,249,24,5,3.0,3188,399900
250,250,24,4,2.1,2496,419000
251,251,122,3,2.0,2620,439000
252,252,367,3,3.0,2265,429000
253,253,282,3,2.1,2000,399000
254,254,24,4,3.0,2475,425000
255,255,122,3,3.1,2075,399000
256,256,282,3,3.0,1915,423000
257,257,282,3,2.1,2570,439000
258,258,163,2,2.0,1104,395000
259,259,24,4,3.0,3071,395000
260,260,24,4,3.1,2368,399990
261,261,56,5,4.0,3538,450000
262,262,367,3,2.0,2638,424998
263,263,282,4,3.1,3744,445000
264,264,282,4,4.1,5300,449000
265,265,282,4,3.1,2753,425000
266,266,282,4,4.1,3855,425000
267,267,220,4,4.0,1687,400000
268,268,282,4,2.1,2962,490000
269,269,24,4,2.1,3136,469000
270,270,129,3,3.0,2503,449000
271,271,24,4,3.1,3578,449900
272,272,24,10,8.0,3784,475000
273,273,24,4,3.0,2521,475000
274,274,282,3,2.0,2150,495500
275,275,367,5,2.1,3752,489000
276,276,56,5,4.0,3538,450000
277,277,282,4,3.1,3744,445000
278,278,282,4,4.1,5300,449000
279,279,122,3,2.0,1200,485000
280,280,282,5,3.1,3300,499000
281,281,282,3,3.1,2475,535000
282,282,282,3,2.0,2150,495500
283,283,56,3,2.1,2040,550000
284,284,367,3,2.1,3443,545000
285,285,56,3,2.1,2040,550000
286,286,312,6,5.0,3942,550000
287,287,20,4,3.0,2785,550000
288,288,282,5,4.1,5322,549000
289,289,24,5,2.1,3103,550000
290,290,28,4,3.0,3001,545000
291,291,409,3,3.0,2466,524000
292,292,282,5,3.1,3300,499000
293,293,56,3,2.1,2040,550000
294,294,367,3,2.1,3443,545000
295,295,56,3,2.1,2040,550000
296,296,312,6,5.0,3942,550000
297,297,20,4,3.0,2785,550000
298,298,282,5,4.1,5322,549000
299,299,24,5,2.1,3103,550000
300,300,28,4,3.0,3001,545000
301,301,56,2,1.0,1480,599000
302,302,24,6,3.0,2730,649999
303,303,24,4,3.0,3472,619999
304,304,367,4,3.0,4510,645000
305,305,56,2,1.0,1480,599000
306,306,24,6,3.0,2730,649999
307,307,24,2,1.0,1092,699000
308,308,20,4,4.0,4111,699000
309,309,367,4,3.0,4510,645000
310,310,122,4,2.0,3383,715000
311,311,156,5,3.0,3000,750000
312,312,24,4,2.1,3221,747000
313,313,24,5,4.0,5085,719000
314,314,24,2,1.0,1092,699000
315,315,20,4,4.0,4111,699000
316,316,24,5,3.0,5832,799500
317,317,156,5,3.0,3000,750000
318,318,24,4,2.1,2901,799000
319,319,24,4,2.1,3221,747000
320,320,24,5,4.1,4481,760000
321,321,24,5,3.0,5832,799500
322,322,24,4,2.1,2901,799000
323,323,122,4,3.2,4390,829000
324,324,24,7,4.1,5082,949000
325,325,164,3,2.0,2686,995000
326,326,360,3,2.0,2185,1095000
327,327,360,3,2.0,1671,1225000
328,328,126,3,2.0,1635,1075000
329,329,106,3,3.0,1980,1449700
330,330,301,4,2.0,2100,1049000
331,331,410,4,3.0,2568,1100000
332,332,223,6,5.0,2625,1080000
333,333,207,2,2.0,1834,1395000
334,334,94,3,3.0,1382,1229000
335,335,410,4,4.0,2308,1195000
336,336,204,4,2.0,2055,1195000
337,337,395,4,4.0,3348,1033000
338,338,207,3,2.0,2162,1299000
339,339,207,3,2.1,1970,1175000
340,340,315,4,3.0,3219,1038000
341,341,207,2,1.0,1054,999999
342,342,204,5,4.0,3850,1423500
343,343,207,3,2.0,1646,1079000
