citi,n_citi
"Salton City, CA",317
"Brawley, CA",48
"Imperial, CA",152
"Brawley, CA",48
"Calexico, CA",55
"Brawley, CA",48
"Calexico, CA",55
"Brawley, CA",48
"Brawley, CA",48
"Salton City, CA",317
"Gorman, CA",129
"Frazier Park, CA",122
"Rosamond, CA",312
"Kernville, CA",164
"Rosamond, CA",312
"Frazier Park, CA",122
"Frazier Park, CA",122
"Frazier Park, CA",122
"Tehachapi, CA",367
"Tehachapi, CA",367
"Arvin, CA",20
"California City, CA",57
"Bakersfield, CA",24
"Frazier Park, CA",122
"California City, CA",57
"Bakersfield, CA",24
"Frazier Park, CA",122
"Bakersfield, CA",24
"Bakersfield, CA",24
"Bakersfield, CA",24
"Bakersfield, CA",24
"Rosamond, CA",312
"Delano, CA",99
"Bakersfield, CA",24
"Tehachapi, CA",367
"Bakersfield, CA",24
"Rosamond, CA",312
"Rosamond, CA",312
"California City, CA",57
"Rosamond, CA",312
"California City, CA",57
"Lebec, CA",196
"Pine Mountain Club, CA",282
"Frazier Park, CA",122
"California City, CA",57
"Pine Mountain Club, CA",282
"Frazier Park, CA",122
"Frazier Park, CA",122
"Bakersfield, CA",24
"Pine Mountain Club, CA",282
"Tehachapi, CA",367
"Rosamond, CA",312
"Rosamond, CA",312
"Tehachapi, CA",367
"Rosamond, CA",312
"Bakersfield, CA",24
"California City, CA",57
"Pine Mountain Club, CA",282
"California City, CA",57
"Pine Mountain Club, CA",282
"Pine Mountain Club, CA",282
"Bakersfield, CA",24
"Tehachapi, CA",367
"California City, CA",57
"Frazier Park, CA",122
"Pine Mountain Club, CA",282
"Tehachapi, CA",367
"Bakersfield, CA",24
"Tehachapi, CA",367
"Pine Mountain Club, CA",282
"California City, CA",57
"Pine Mountain Club, CA",282
"Bakersfield, CA",24
"Bakersfield, CA",24
"Rosamond, CA",312
"Pine Mountain Club, CA",282
"Bakersfield, CA",24
"Bakersfield, CA",24
"Frazier Park, CA",122
"Bakersfield, CA",24
"California City, CA",57
"Frazier Park, CA",122
"Pine Mountain Club, CA",282
"Inyokern, CA",156
"California City, CA",57
"California City, CA",57
"Pine Mountain Club, CA",282
"Pine Mountain Club, CA",282
"Tehachapi, CA",367
"Rosamond, CA",312
"Tehachapi, CA",367
"California City, CA",57
"Bakersfield, CA",24
"Bakersfield, CA",24
"Rosamond, CA",312
"Rosamond, CA",312
"Frazier Park, CA",122
"Tehachapi, CA",367
"Bakersfield, CA",24
"California City, CA",57
"Tehachapi, CA",367
"Bakersfield, CA",24
"Bakersfield, CA",24
"Bakersfield, CA",24
"Pine Mountain Club, CA",282
"Rosamond, CA",312
"California City, CA",57
"Rosamond, CA",312
"Bakersfield, CA",24
