citi,n_citi
"Salton City, CA",317
"Brawley, CA",48
"Imperial, CA",152
"Calexico, CA",55
"Gorman, CA",129
"Frazier Park, CA",122
"Rosamond, CA",312
"Kernville, CA",164
"Tehachapi, CA",367
"Arvin, CA",20
"California City, CA",57
"Bakersfield, CA",24
"Delano, CA",99
"Lebec, CA",196
"Pine Mountain Club, CA",282
"Inyokern, CA",156
"Mojave, CA",220
"Boron, CA",45
"Stallion Springs, CA",357
"Ridgecrest, CA",308
"Keene, CA",163
"Caliente, CA",56
"Bear Valley Springs, CA",28
"Wofford Heights, CA",409
"Studio City, CA",360
"Glendale, CA",126
"Eagle Rock, CA",106
"Rancho Palos Verdes, CA",301
"Woodland Hills, CA",410
"Montebello, CA",223
"Los Angeles, CA",207
"Culver City, CA",94
"Long Beach, CA",204
"Walnut, CA",395
"Rowland Heights, CA",315
"Porter Ranch, CA",292
"Newhall, CA",239
"Covina, CA",91
"Santa Monica, CA",337
"San Marino, CA",328
"Agoura Hills, CA",3
"Stevenson Ranch, CA",359
"La Canada Flintridge, CA",165
"Arcadia, CA",16
"Pasadena, CA",274
"El Segundo, CA",112
"El Monte, CA",111
"Torrance, CA",376
"Altadena, CA",10
"Encino, CA",114
"Downey, CA",103
"Sherman Oaks, CA",346
"Monrovia, CA",221
"Northridge, CA",247
"Sunland, CA",364
"Azusa, CA",23
"Valley Glen, CA",385
"Castaic, CA",70
"Tarzana, CA",366
"Burbank, CA",52
"Diamond Bar, CA",102
"Hacienda Heights, CA",136
"Canyon Country, CA",63
"Van Nuys, CA",387
"West Covina, CA",397
"Sierra Madre, CA",347
"Alhambra, CA",6
"Beverly Hills, CA",35
"Venice, CA",389
"Inglewood, CA",155
"Westchester, CA",400
"Valley Village, CA",386
"Glendora, CA",127
"San Gabriel, CA",323
"La Verne, CA",176
"Malibu, CA",212
"Redondo Beach, CA",305
"Playa del Rey, CA",289
"Palos Verdes Estates, CA",269
"Whittier, CA",404
"Pomona, CA",290
"Toluca Lake, CA",374
"Shadow Hills, CA",344
"Hermosa Beach, CA",142
"Claremont, CA",81
"South Pasadena, CA",355
"Pacific Palisades, CA",263
"Calabasas, CA",54
"West Hollywood, CA",399
"Temple City, CA",369
"Lancaster, CA",193
"Littlerock, CA",199
"Palmdale, CA",267
"Pearblossom, CA",277
"Lake Los Angeles, CA",188
"North Hollywood, CA",245
"Sylmar, CA",365
"Lake Hughes, CA",187
"Santa Clarita, CA",333
"Llano, CA",200
"Acton, CA",1
"Reseda, CA",306
"La Mirada, CA",172
"Lake Elizabeth, CA",184
"Paramount, CA",272
"San Pedro, CA",330
"Green Valley, CA",133
"Compton, CA",85
"Huntington Park, CA",149
