city_codes,beds,baths,size,price
317,3,2,1560,201900
48,3,2,713,228500
152,3,1,800,273950
48,3,1,1082,350000
55,4,3,2547,385100
48,3,1,1082,350000
55,4,3,2769,415000
48,5,2.1,2600,545000
48,5,2.1,2600,545000
317,4,5.1,3932,690000
129,3,2.1,4044,1350000
122,5,5.1,6247,1499000
312,2,2,2466,1488000
164,3,2,2686,995000
312,1,1,1048,2000000
122,5,5.1,6247,1499000
122,3,3.1,4597,1550000
122,8,3.1,4236,1850000
367,4,1.1,1980,1995000
367,4,2.1,1967,249950
20,4,2,1573,205000
57,5,3,2065,249000
24,3,2,1087,195000
122,3,2,1400,229000
57,3,2,1533,229000
24,2,1,966,239900
122,3,2.1,1760,235000
24,3,2,1478,239900
24,4,3,1876,240000
24,3,2,1820,239990
24,3,2,1873,219000
312,3,2,1265,220000
99,3,1,1364,199500
24,3,2,1004,224990
367,4,3.1,3648,249000
24,3,2.1,1608,250000
312,3,2,1504,225000
312,3,2,1425,255000
57,5,3,2190,234900
312,3,2,1500,245000
57,3,2,1410,198000
196,3,2,1152,199900
282,3,2,1440,235000
122,2,2,1008,216500
57,3,2,1562,225000
282,2,1,974,210000
122,3,1.1,1440,219000
122,2,1,896,198500
24,4,3,1848,219900
282,2,2,1378,249000
367,4,2,1421,229900
312,3,2,1222,216000
312,2,2,956,230000
367,3,2,1320,249000
312,3,2,1484,255000
24,3,2,1499,233000
57,3,2,1422,195000
282,3,2.1,1152,238000
57,3,2,1774,230000
282,3,2,1584,219000
282,4,2,1368,239900
24,3,2,1268,234900
367,4,2,1888,255000
57,3,2,1877,199000
122,3,2,1290,237500
282,2,2,949,209750
367,3,2,1402,239000
24,3,2,1242,200000
367,3,3,2354,249000
282,3,2.2,1426,249000
57,4,2,1775,195000
282,3,2,952,199000
24,5,2,1953,235000
24,3,2,1527,209900
312,2,2,956,213900
282,3,2,1542,220000
24,3,2,1411,250000
24,3,2,1448,230000
122,2,2,1536,245000
24,2,1,991,219900
57,3,2,1400,249000
122,3,2,1380,249900
282,2,1,783,195000
156,2,1,1100,230000
57,3,2,1729,210000
57,3,2,1945,199950
282,4,2,1632,239000
282,3,2,1792,299000
367,4,2.1,1967,249950
312,3,2,1433,260000
367,3,2,2435,284900
57,5,3,2065,249000
24,3,2.1,1838,265000
24,3,2,1683,290000
312,5,2,1837,260000
312,3,2,1630,259900
122,3,2,1198,280000
367,3,2,1512,274999
24,3,2,1515,275000
57,4,2.1,1996,269669
367,4,3.1,3648,249000
24,3,2,1316,275000
24,3,2.1,1608,250000
24,5,2.1,2228,299000
282,3,2,1800,270000
312,3,2,1425,255000
57,4,3,1991,265000
312,3,2,1735,295000
24,4,2,1639,295000
312,3,2,1500,245000
282,2,2,1137,259000
220,6,5,2352,300000
57,3,2,2400,258000
122,3,3.1,1526,275000
312,3,2,1687,260000
122,3,2.1,1558,295000
282,2,2,1378,249000
312,3,2,1473,269900
24,4,3,1982,299900
196,3,2,1800,259000
367,3,2,1320,249000
122,3,2,1665,289000
312,3,2,1484,255000
45,3,2,1800,299000
122,3,2,2176,260000
122,3,3,1376,269900
367,4,2,1888,255000
282,3,3,1293,279000
196,3,3,2479,299500
282,4,2.1,1579,279000
367,3,3,2354,249000
282,3,2.2,1426,249000
282,2,2,1520,265000
282,3,2,1920,275000
122,3,2,1836,274900
282,3,2,1688,274960
24,3,2,1411,250000
122,4,2.1,1897,285000
282,2,2,1733,278300
122,2,2,1536,245000
282,3,2.1,1712,285000
57,3,2,1400,249000
282,3,2,1459,299000
122,3,2,1380,249900
282,3,2.1,1728,299000
57,3,3.1,2571,275000
282,4,3,2300,299000
282,3,2,1344,279000
282,3,2,1536,278888
367,3,1,1368,300000
282,3,2,1792,299000
24,3,2.1,2011,339900
312,5,3.1,2557,344500
367,4,2,1703,315000
282,3,2,1615,329900
367,3,3,1656,355000
24,4,3,2792,325000
